term,normalized_term,semantic_hint,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes
Anticoagulants,anticoagulants,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Anticonvulsants,anticonvulsants,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Antidepressive Agents,antidepressive agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Antifungal Agents,antifungal agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Antihypertensive Agents,antihypertensive agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Antineoplastic Agents,antineoplastic agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Antipsychotic Agents,antipsychotic agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Antiviral Agents,antiviral agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Anxiety Disorders,anxiety disorders,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Aorta,aorta,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Applied Epidemiology,applied epidemiology,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Appointments and Schedules,appointments and schedules,PROCESS_EVENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
"Arthritis, Rheumatoid","arthritis, rheumatoid",CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Association,association,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,MEDIUM,ordinary-English collision
Asthma,asthma,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Attack Rate,attack rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Attributable Proportion,attributable proportion,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Balance billing,balance billing,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Bias,bias,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,MEDIUM,ordinary-English collision
Biologic Transmission,biologic transmission,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Biopsy,biopsy,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Birth Certificates,birth certificates,DOCUMENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Bladder,bladder,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Blood Cell Count,blood cell count,TEST,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Blood Culture,blood culture,TEST,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Blood Glucose,blood glucose,TEST,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Blood Transfusion,blood transfusion,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Blood Vessels,blood vessels,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
BMBL,bmbl,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Biosafety in Microbiological and Biomedical Laboratories; abbreviation; abbreviation may have non-medical expansions
Bone,bone,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Brain,brain,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Breast,breast,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Breast Neoplasms,breast neoplasms,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Bronchodilator Agents,bronchodilator agents,MEDICATION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Bronchoscopy,bronchoscopy,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Cardiac Catheterization,cardiac catheterization,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Cardiology,cardiology,ORGANIZATION_DEPARTMENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Cardiopulmonary Resuscitation,cardiopulmonary resuscitation,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Carrier,carrier,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,MEDIUM,ordinary-English collision
Case,case,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,MEDIUM,ordinary-English collision
case control study,case control study,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,FALSE,TRUE,Case-Control Study,LOW,Conservative deterministic orthographic variant; not independently source-attested.
Case Definition,case definition,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
case fatality rate,case fatality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,FALSE,TRUE,Case-Fatality Rate,LOW,Conservative deterministic orthographic variant; not independently source-attested.
Case-Control Study,case-control study,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Case-Fatality Rate,case-fatality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Catheterization,catheterization,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Cause of Disease,cause of disease,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Cause-Specific Mortality Rate,cause-specific mortality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
CDC,cdc,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Centers for Disease Control and Prevention; abbreviation; abbreviation may have non-medical expansions
Certification and compliance,certification and compliance,PROCESS_EVENT,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Chain of Infection,chain of infection,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
"Chemotherapy, Adjuvant","chemotherapy, adjuvant",PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Chronic Kidney Disease,chronic kidney disease,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Claim,claim,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,MEDIUM,ordinary-English collision
CLIA,clia,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Clinical Laboratory Improvement Amendments; abbreviation; abbreviation may have non-medical expansions
Clinical Decision-Making,clinical decision-making,PROCESS_EVENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Clinical Laboratory Improvement Amendments,clinical laboratory improvement amendments,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Clinical Templates,clinical templates,DOCUMENT,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Cluster,cluster,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
CMS,cms,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Centers for Medicare & Medicaid Services; abbreviation; abbreviation may have non-medical expansions
coding determination,coding determination,BILLING_CODING,CMS HCPCS Overview,https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Coinsurance,coinsurance,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Colon,colon,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Colonoscopy,colonoscopy,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Colorectal Neoplasms,colorectal neoplasms,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Community Mental Health Centers,community mental health centers,ORGANIZATION_DEPARTMENT,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Comorbidity,comorbidity,MEDICAL_CONCEPT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Contagious,contagious,CONDITION,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Continuity of Patient Care,continuity of patient care,PROCESS_EVENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
CoP,cop,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Conditions of Participation; abbreviation; abbreviation may have non-medical expansions
Copayment,copayment,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Coronary Angiography,coronary angiography,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Coronary Arteries,coronary arteries,ANATOMY,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Cost sharing,cost sharing,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Coverage Determination Process,coverage determination process,PROCESS_EVENT,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
COVID-19,covid-19,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
CPT,cpt,AMBIGUOUS,CMS HCPCS Overview,https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,abbreviation; abbreviation may have non-medical expansions
Creditable coverage,creditable coverage,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Critical Access Hospitals,critical access hospitals,ORGANIZATION_DEPARTMENT,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Crude Mortality Rate,crude mortality rate,MEDICAL_CONCEPT,CDC Epidemiology Glossary,https://www.cdc.gov/reproductive-health/glossary/index.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
CSF,csf,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Cerebrospinal Fluid; abbreviation; abbreviation may have non-medical expansions
Current Procedural Terminology,current procedural terminology,BILLING_CODING,CMS HCPCS Overview,https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Death Certificates,death certificates,DOCUMENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Deductible,deductible,BILLING_CODING,CMS Glossary,https://www.cms.gov/glossary,CMS,US_FEDERAL_AGENCY,TRUE,FALSE,,LOW,
Defibrillation,defibrillation,PROCEDURE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Dentists,dentists,ROLE,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Depression,depression,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
Dermatology,dermatology,ORGANIZATION_DEPARTMENT,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
DHQP,dhqp,AMBIGUOUS,CDC HCP Terminology,https://www.cdc.gov/infection-control/hcp/healthcare-personnel-infrastructure-routine-practices/terminology.html,CDC,US_FEDERAL_AGENCY,TRUE,FALSE,,HIGH,Source-attested abbreviation; expansion: Division of Healthcare Quality Promotion; abbreviation; abbreviation may have non-medical expansions
Diabetes Mellitus,diabetes mellitus,CONDITION,MeSH 2026,https://www.nlm.nih.gov/databases/download/mesh.html,NLM_MESH,US_FEDERAL_CONTROLLED_VOCABULARY,TRUE,FALSE,,LOW,High-confidence canonical MeSH heading selected for DocScrub semantic evidence.
