term,normalized_term,semantic_hint,category,jurisdiction,source_name,source_url,source_family,source_authority,source_authority_level,source_attested,derived_variant,parent_term,acronym,acronym_expansion,collision_risk,license_status,retrieval_date,notes,collision_census_name,cross_evidence_overlaps
Alienated Records,alienated records,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
ALN,aln,IDENTIFIER_TYPE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,Assistance Listing Number,ALN,Assistance Listing Number,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Alternate,alternate,DOCUMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,FAR provision/clause sense,false,
AMS,ams,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Agricultural Marketing Service,AMS,Agricultural Marketing Service,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
Annual FOIA Report,annual foia report,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Annual FOIA Report Handbook,annual foia report handbook,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Annual Publication of Assistance Listings,annual publication of assistance listings,DOCUMENT_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,APAL,Annual Publication of Assistance Listings,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
ANPRM,anprm,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,Advance Notice of Proposed Rulemaking,ANPRM,Advance Notice of Proposed Rulemaking,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
AOR,aor,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,Authorized Organization Representative,AOR,Authorized Organization Representative,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
APAL,apal,DOCUMENT_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,Annual Publication of Assistance Listings,APAL,Annual Publication of Assistance Listings,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Appalachian Regional Commission,appalachian regional commission,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,ARC,Appalachian Regional Commission,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
Applicant,applicant,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,higher_ed
Application,application,DOCUMENT,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Application Package Template,application package template,DOCUMENT_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
ARC,arc,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Appalachian Regional Commission,ARC,Appalachian Regional Commission,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Architect-Engineer Services,architect-engineer services,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Archives Records Center Information System,archives records center information system,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,ARCIS,Archives Records Center Information System,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,explicit source acronym,false,
ARCIS,arcis,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Archives Records Center Information System,ARCIS,Archives Records Center Information System,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
ARO,aro,ROLE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Agency Records Officer,ARO,Agency Records Officer,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
ARS,ars,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,Agricultural Research Service,ARS,Agricultural Research Service,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Asset,asset,PROPERTY_ADMIN,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,finance_accounting_tax
Asset Management,asset management,PROPERTY_ADMIN,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Assignment of Claims,assignment of claims,FISCAL_ADMIN,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Assistance Listing Number,assistance listing number,IDENTIFIER_TYPE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,ALN,Assistance Listing Number,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
Assistance Listings,assistance listings,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Assisted Acquisition,assisted acquisition,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
ATF,atf,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,"Bureau of Alcohol, Tobacco, Firearms and Explosives",ATF,"Bureau of Alcohol, Tobacco, Firearms and Explosives",MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Authorized Organization Representative,authorized organization representative,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,AOR,Authorized Organization Representative,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
Award,award,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Backlog,backlog,PROCESS_EVENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,HIGH,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Band,band,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; terminology only,2026-08-10,,true,
Basic Research,basic research,PROGRAM_ADMIN,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Best Value,best value,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
BIA,bia,ENFORCEMENT_COMPLIANCE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Business Impact Analysis,BIA,Business Impact Analysis,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
Bid Sample,bid sample,DOCUMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Big Bucket/Large Aggregation Schedule,big bucket/large aggregation schedule,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,LOW,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Biobased Product,biobased product,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Blocking,blocking,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,records scheduling sense,false,
