term,normalized_term,semantic_hint,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes
active judge,active judge,ROLE,U.S. Court of Appeals for the Ninth Circuit — Glossary of Legal Terms,https://www.ca9.uscourts.gov/guides-resources/glossary/,FEDERAL_APPELLATE_COURT,HIGH,True,False,,MEDIUM,
Administrative law judge,administrative law judge,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Administrative Motion to File Under Seal,administrative motion to file under seal,DOCUMENT|COURT_PROCEDURE,"U.S. District Court, Northern District of California — E-Filing Case Documents",https://cand.uscourts.gov/cases-e-filing/cmecf-information/e-filing-case-documents,FEDERAL_DISTRICT_COURT_PROCEDURE,HIGH,True,False,,LOW,
Administrative Office of the United States Courts (AO),administrative office of the united states courts (ao),ORGANIZATION,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Admissible,admissible,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,ordinary English collision
Adversary proceeding,adversary proceeding,COURT_PROCEDURE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,bankruptcy
adverse employment action,adverse employment action,LEGAL_CONCEPT,U.S. Equal Employment Opportunity Commission — Small Business Glossary/Resources,https://www.eeoc.gov/employers/small-business,FEDERAL_REGULATOR_EMPLOYMENT,HIGH,True,False,,LOW,employment law
Affidavit,affidavit,DOCUMENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Affirmed,affirmed,PROCESS_EVENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,ordinary English collision
Alford plea,alford plea,COURT_PROCEDURE|LEGAL_CONCEPT,U.S. Department of Justice — Justice 101 Legal Terms Glossary,https://www.justice.gov/usao/justice-101/glossary,DOJ_GLOSSARY,HIGH,True,False,,LOW,criminal procedure
allegation,allegation,LEGAL_CONCEPT,U.S. Department of Justice — Justice 101 Legal Terms Glossary,https://www.justice.gov/usao/justice-101/glossary,DOJ_GLOSSARY,HIGH,True,False,,MEDIUM,ordinary English collision
Alternate juror,alternate juror,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Alternative dispute resolution (ADR),alternative dispute resolution (adr),PROCESS_EVENT|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Amend,amend,COURT_PROCEDURE,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary verb collision
Amended vs. Amendment,amended vs. amendment,LEGAL_CONCEPT,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,source heading
Amicus curiae,amicus curiae,ROLE|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,Latin phrase
Answer,answer,DOCUMENT|COURT_PROCEDURE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary English collision
Appeal,appeal,COURT_PROCEDURE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,ordinary English collision
appeal (trademarks),appeal (trademarks),COURT_PROCEDURE,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,administrative IP
Appellant,appellant,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Appellate,appellate,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Appellee,appellee,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
application filing date (trademarks),application filing date (trademarks),IDENTIFIER_TYPE,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
Application number (US) (patent),application number (us) (patent),IDENTIFIER_TYPE,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
arbitrary trademarks,arbitrary trademarks,LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
Arbitration,arbitration,PROCESS_EVENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
arbitrator,arbitrator,ROLE,"U.S. District Court, Northern District of California — Mediation",https://cand.uscourts.gov/about-court/court-programs-services/alternative-dispute-resolution-adr/mediation,FEDERAL_DISTRICT_COURT_ADR,HIGH,True,False,,LOW,
Arraignment,arraignment,COURT_PROCEDURE|PROCESS_EVENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
arrest warrant,arrest warrant,DOCUMENT|COURT_PROCEDURE,U.S. Department of Justice — Justice 101 Legal Terms Glossary,https://www.justice.gov/usao/justice-101/glossary,DOJ_GLOSSARY,HIGH,True,False,,LOW,
Article III judge,article iii judge,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Asset or No Asset Cases,asset or no asset cases,LEGAL_CONCEPT,"U.S. Bankruptcy Court, District of Nevada — Bankruptcy Terminology",https://www.nvb.uscourts.gov/filing/bankruptcy-basics/bankruptcy-terminology/,FEDERAL_BANKRUPTCY_COURT,HIGH,True,False,,LOW,
Assets,assets,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,cross-domain financial term
assignee,assignee,ROLE,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,MEDIUM,contract/IP
assignment (patent),assignment (patent),DOCUMENT|LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,MEDIUM,
assignment (trademarks),assignment (trademarks),DOCUMENT|LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,MEDIUM,
Assignment Center,assignment center,OTHER_DOMAIN_TERM,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,MEDIUM,USPTO system
Assume,assume,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary English; bankruptcy/contract sense
Authorized user,authorized user,ROLE,Federal Trade Commission — Safeguards Rule Small Entity Compliance Guide,https://www.ftc.gov/business-guidance/resources/ftc-safeguards-rule-what-your-business-needs-know,FEDERAL_REGULATOR_PRIVACY_SECURITY,HIGH,True,False,,HIGH,computing collision
Automatic stay,automatic stay,COURT_PROCEDURE|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,bankruptcy
Bail,bail,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Bankruptcy,bankruptcy,PROCESS_EVENT|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Bankruptcy administrator,bankruptcy administrator,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Bankruptcy code,bankruptcy code,DOCUMENT|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Bankruptcy court,bankruptcy court,ORGANIZATION,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Bankruptcy estate,bankruptcy estate,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Bankruptcy judge,bankruptcy judge,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Bankruptcy petition,bankruptcy petition,DOCUMENT|COURT_PROCEDURE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
bankruptcy trustee,bankruptcy trustee,ROLE,U.S. Court of Appeals for the Ninth Circuit — Glossary of Legal Terms,https://www.ca9.uscourts.gov/guides-resources/glossary/,FEDERAL_APPELLATE_COURT,HIGH,True,False,,LOW,
Bench trial,bench trial,PROCESS_EVENT|COURT_PROCEDURE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Beneficiary,beneficiary,ROLE,California Courts Self-Help — Common Words in Probate Cases,https://selfhelp.courts.ca.gov/probate/terms,STATE_JUDICIARY_PROBATE,HIGH,True,False,,MEDIUM,cross-domain finance/trust
beyond a reasonable doubt,beyond a reasonable doubt,LEGAL_CONCEPT,U.S. Department of Justice — Justice 101 Legal Terms Glossary,https://www.justice.gov/usao/justice-101/glossary,DOJ_GLOSSARY,HIGH,True,False,,LOW,standard of proof
binding precedent,binding precedent,LEGAL_CONCEPT,U.S. Department of Justice — Justice 101 Legal Terms Glossary,https://www.justice.gov/usao/justice-101/glossary,DOJ_GLOSSARY,HIGH,True,False,,LOW,
Blocked Account,blocked account,LEGAL_CONCEPT,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Blue Sky Laws,blue sky laws,LEGAL_CONCEPT,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,LOW,
breach notification requirements,breach notification requirements,LEGAL_CONCEPT,Federal Trade Commission — Safeguards Rule Small Entity Compliance Guide,https://www.ftc.gov/business-guidance/resources/ftc-safeguards-rule-what-your-business-needs-know,FEDERAL_REGULATOR_PRIVACY_SECURITY,HIGH,True,False,,LOW,privacy/security
Brief,brief,DOCUMENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary English collision
Burden of proof,burden of proof,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Burn Rate,burn rate,OTHER_DOMAIN_TERM,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,HIGH,business collision
Business bankruptcy,business bankruptcy,LEGAL_CONCEPT|PROCESS_EVENT,U.S. Courts — Glossary of Legal Terms | U.S. Court of Appeals for the Ninth Circuit — Glossary of Legal Terms,https://www.uscourts.gov/glossary | https://www.ca9.uscourts.gov/guides-resources/glossary/,FEDERAL_JUDICIARY_GLOSSARY | FEDERAL_APPELLATE_COURT,HIGH | HIGH,True,False,,LOW,multiple independent source attestations
Business Development Company (BDC),business development company (bdc),ORGANIZATION|LEGAL_CONCEPT,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,LOW,
bypass continuing application,bypass continuing application,DOCUMENT|LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
canceled claim (patent),canceled claim (patent),LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
canceled registration,canceled registration,LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
cancellation proceeding,cancellation proceeding,COURT_PROCEDURE|PROCESS_EVENT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
Capital offense,capital offense,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Capitalization Table,capitalization table,DOCUMENT,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,LOW,
Case ancillary to a foreign proceeding,case ancillary to a foreign proceeding,COURT_PROCEDURE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Case file,case file,DOCUMENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
case information,case information,OTHER_DOMAIN_TERM,PACER — Federal Court Records / CM/ECF FAQs,https://pacer.uscourts.gov/help/faqs/what-cmecf,FEDERAL_COURT_EFILING,HIGH,True,False,,HIGH,ordinary phrase
Case law,case law,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Case Management/Electronic Case Files (CM/ECF),case management/electronic case files (cm/ecf),OTHER_DOMAIN_TERM,PACER — Federal Court Records / CM/ECF FAQs,https://pacer.uscourts.gov/help/faqs/what-cmecf,FEDERAL_COURT_EFILING,HIGH,True,False,,LOW,federal e-filing system
Caseload,caseload,OTHER_DOMAIN_TERM,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Cause of action,cause of action,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Certificate of Assignment,certificate of assignment,DOCUMENT,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Chambers,chambers,OTHER_DOMAIN_TERM,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary/geographic/name collision
Chapter 11,chapter 11,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Chapter 12,chapter 12,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Chapter 13,chapter 13,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Chapter 13 trustee,chapter 13 trustee,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Chapter 15,chapter 15,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Chapter 7,chapter 7,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,numeric/common-context collision
Chapter 7 trustee,chapter 7 trustee,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Chapter 9,chapter 9,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
charge of discrimination,charge of discrimination,DOCUMENT|PROCESS_EVENT,U.S. Equal Employment Opportunity Commission — Small Business Glossary/Resources,https://www.eeoc.gov/employers/small-business,FEDERAL_REGULATOR_EMPLOYMENT,HIGH,True,False,,LOW,employment law
Chief judge,chief judge,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Circuit Executive,circuit executive,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,ambiguous professional title
Civil Case,civil case,LEGAL_CONCEPT,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Civil Case Cover Sheet,civil case cover sheet,DOCUMENT,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Claim,claim,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary/professional collision
Class action,class action,COURT_PROCEDURE|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Clerk of court,clerk of court,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Common Stock,common stock,LEGAL_CONCEPT,U.S. Securities and Exchange Commission — Small Business Capital Formation Glossary,https://www.sec.gov/resources-small-businesses/glossary,FEDERAL_REGULATOR_SECURITIES,HIGH,True,False,,MEDIUM,finance collision
Complaint,complaint,DOCUMENT|COURT_PROCEDURE,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,ordinary complaint collision
Complaint in Intervention,complaint in intervention,DOCUMENT|COURT_PROCEDURE,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Concurrent sentence,concurrent sentence,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Confirmation,confirmation,PROCESS_EVENT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary/cross-domain collision
conflicting trademark,conflicting trademark,LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,LOW,
Consecutive sentence,consecutive sentence,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
consent decree,consent decree,DOCUMENT|LEGAL_CONCEPT,"U.S. District Court, Northern District of California — Mediation",https://cand.uscourts.gov/about-court/court-programs-services/alternative-dispute-resolution-adr/mediation,FEDERAL_DISTRICT_COURT_ADR,HIGH,True,False,,LOW,
consisting of,consisting of,LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,HIGH,ordinary phrase; patent claim transition
Consumer bankruptcy,consumer bankruptcy,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Consumer debtor,consumer debtor,ROLE|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Consumer debts,consumer debts,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
Contested matter,contested matter,COURT_PROCEDURE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,bankruptcy
Contingent claim,contingent claim,LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,
continuation,continuation,LEGAL_CONCEPT,U.S. Patent and Trademark Office — Glossary,https://www.uspto.gov/learning-and-resources/glossary,FEDERAL_REGULATOR_IP,HIGH,True,False,,HIGH,ordinary English collision
Contract,contract,DOCUMENT|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,MEDIUM,common business term
Conviction,conviction,PROCESS_EVENT|LEGAL_CONCEPT,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,LOW,
Coordination,coordination,COURT_PROCEDURE,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary/cross-domain collision
Costs,costs,LEGAL_CONCEPT,"Superior Court of California, County of San Bernardino — Glossary of Civil Terms",https://sanbernardino.courts.ca.gov/divisions/civil/glossary-civil-terms,STATE_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary/business collision
Counsel,counsel,ROLE,U.S. Courts — Glossary of Legal Terms,https://www.uscourts.gov/glossary,FEDERAL_JUDICIARY_GLOSSARY,HIGH,True,False,,HIGH,ordinary/name/title collision
